trade_date,entry_time_ist,exit_time_ist,hold_min,index,direction,strategy,entry_price,exit_price,premium_move_pct,spot_entry,spot_exit,spot_move_pct,market_moved_favorably,exit_reason,realized_pnl,is_win
2026-09-01,2026-09-01 13:16:00+05:30,2026-09-01 13:30:43.443197+05:30,14.724053283333335,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,584.0835,599.0835,2.57,57460.45,57442.9,-0.031,True,TRAILING_STOP,450.0,True
2026-09-01,2026-09-01 13:16:00+05:30,2026-09-01 13:19:17.071164+05:30,3.2845194,NIFTY,PE,NIFTY_MACD_BEARISH_1M_ATM,33.98395,27.160000000000004,-20.08,24043.65,24049.05,0.022,False,STOP_LOSS,-443.5567499999997,False
2026-09-01,2026-09-01 13:16:00+05:30,2026-09-01 14:09:37.531166+05:30,53.62551943333334,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,248.44819999999996,398.2,60.27,76932.85,76667.66,-0.345,True,TAKE_PROFIT,2995.0360000000005,True
2026-09-01,2026-09-01 13:16:00+05:30,2026-09-01 13:30:43.443197+05:30,14.724053283333335,BANKNIFTY,PE,BANKNIFTY_MACD_BEARISH_1M_ATM,584.0835,599.0835,2.57,57460.45,57442.9,-0.031,True,TRAILING_STOP,450.0,True
2026-09-01,2026-09-01 13:31:00+05:30,2026-09-01 14:04:12.069551+05:30,33.20115918333333,SENSEX,PE,SENSEX_MACD_BEARISH_1M_ATM,270.52025,420.25,55.35,76992.51,76756.81,-0.306,True,TAKE_PROFIT,2994.595,True
2026-09-02,2026-09-02 09:46:00+05:30,2026-09-02 10:20:29.785808+05:30,34.496430133333334,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,244.94469999999995,195.76,-20.08,76311.24,76418.03,0.14,False,STOP_LOSS,-983.6939999999992,False
2026-09-02,2026-09-02 09:46:00+05:30,2026-09-02 10:30:16.942269+05:30,44.28237115,NIFTY,PE,NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,128.47834999999995,102.68,-20.08,23830.05,23884.75,0.23,False,STOP_LOSS,-1676.892749999998,False
2026-09-02,2026-09-02 09:46:00+05:30,2026-09-02 11:46:01.265503+05:30,120.02109171666666,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,600.24965,599.45,-0.13,57018.6,56967.45,-0.09,True,TIME_EXIT,-23.989499999994447,False
2026-09-02,2026-09-02 11:16:00+05:30,2026-09-02 12:29:36.113794+05:30,73.60189656666667,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,237.68744999999996,189.96,-20.08,76302.5,76330.19,0.036,False,STOP_LOSS,-954.5489999999987,False
2026-09-02,2026-09-02 11:16:00+05:30,2026-09-02 12:43:45.648202+05:30,87.76080336666668,NIFTY,PE,NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,126.126,100.8,-20.08,23828.55,23864.75,0.152,False,STOP_LOSS,-1646.1899999999987,False
2026-09-02,2026-09-02 11:46:00+05:30,2026-09-02 13:46:00.792941+05:30,120.01321568333333,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,600.04945,562.8,-6.21,56967.45,57037.4,0.123,False,TIME_EXIT,-1117.4835000000007,False
