order_id,symbol,qty,entry_price,entry_time,exit_price,exit_time,exit_reason,realized_pnl,strategy
7e55243e-28bf-4c7c-9850-62115048be60,NIFTY24050PE,1,33.98395000000000010231815394945442676544189453125,2026-09-01 07:46:00+00,27.16000000000000369482222595252096652984619140625,2026-09-01 07:49:17.071164+00,STOP_LOSS,-443.55674999999973806552588939666748046875,NIFTY_MACD_BEARISH_1M_ATM
f8863976-ed41-4478-8267-6b8aad551147,BANKNIFTY57400PE,1,595.54494999999997162376530468463897705078125,2026-09-01 04:16:00+00,475.9600000000000363797880709171295166015625,2026-09-01 05:43:03.672602+00,STOP_LOSS,-3587.5484999999980573193170130252838134765625,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
f6aa8abb-c5c9-4ac6-bcc4-4c028c1fe6e5,NIFTY24050PE,1,37.18714999999999548663254245184361934661865234375,2026-09-01 04:46:00+00,29.719999999999998863131622783839702606201171875,2026-09-01 04:59:02.625874+00,STOP_LOSS,-485.36474999999978763298713602125644683837890625,NIFTY_MACD_BEARISH_1M_ATM
855ebcb4-8acc-459b-9e94-f6dd2b442e95,SENSEX76800PE,1,257.05680000000000973159330897033214569091796875,2026-09-01 04:31:00+00,205.440000000000026147972675971686840057373046875,2026-09-01 04:52:31.253991+00,STOP_LOSS,-1032.33599999999978535925038158893585205078125,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
a0263328-c4ae-4bd3-9462-fc4a6f151579,SENSEX76800PE,1,257.05680000000000973159330897033214569091796875,2026-09-01 04:31:00+00,205.440000000000026147972675971686840057373046875,2026-09-01 04:52:31.253991+00,STOP_LOSS,-1032.33599999999978535925038158893585205078125,SENSEX_MACD_BEARISH_1M_ATM
8441cb10-28da-4baf-9e68-c7ad35b5ba0f,BANKNIFTY57300PE,1,557.5569999999999026840669102966785430908203125,2026-08-31 09:01:00+00,557.5569999999999026840669102966785430908203125,2026-08-31 15:47:20.687705+00,EOD_SQUARE_OFF,0,BANKNIFTY_MACD_BEARISH_1M_ATM
ad9d3293-a996-4620-8957-70bc04bf3d5e,BANKNIFTY57200PE,1,573.9733999999999696228769607841968536376953125,2026-08-31 05:26:00+00,489.05000000000001136868377216160297393798828125,2026-08-31 07:26:00.824253+00,TIME_EXIT,-2547.70199999999886131263338029384613037109375,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
8cb8350c-2de8-441d-ae7c-cd7e38f80adf,BANKNIFTY57300PE,1,578.2776999999999816282070241868495941162109375,2026-08-31 04:31:00+00,608.2776999999999816282070241868495941162109375,2026-08-31 05:23:57.357346+00,TRAILING_STOP,900,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
8faf5767-ef27-47c3-9550-c623718275c7,BANKNIFTY57300PE,1,595.4448499999999739884515292942523956298828125,2026-08-31 04:46:00+00,595.4448499999999739884515292942523956298828125,2026-08-31 04:58:21.01173+00,TRAILING_STOP,0,BANKNIFTY_MACD_BEARISH_1M_ATM
1bbe4209-24c7-44e7-ad8a-b766b78486cd,SENSEX76900PE,1,312.51219999999995025063981302082538604736328125,2026-08-31 04:36:00+00,327.51219999999995025063981302082538604736328125,2026-08-31 04:57:52.542028+00,TRAILING_STOP,300,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
16bd4770-f3e0-4190-b837-cb426354ffc0,SENSEX76900PE,1,317.11679999999995516191120259463787078857421875,2026-08-31 04:16:00+00,317.11679999999995516191120259463787078857421875,2026-08-31 04:35:19.048811+00,TRAILING_STOP,0,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
75ac79c2-59a4-4633-beff-f8dd386b6a74,SENSEX76900PE,1,317.11679999999995516191120259463787078857421875,2026-08-31 04:16:00+00,317.11679999999995516191120259463787078857421875,2026-08-31 04:35:19.048811+00,TRAILING_STOP,0,SENSEX_MACD_BEARISH_1M_ATM
a80fa56d-792b-48cb-b199-d53c9894e2af,NIFTY24050PE,1,69.8197499999999990905052982270717620849609375,2026-08-31 04:16:00+00,69.8197499999999990905052982270717620849609375,2026-08-31 04:30:17.394302+00,TRAILING_STOP,0,NIFTY_MACD_BEARISH_1M_ATM
